Name,Value(The authors cited by this author and the number of citations)
Automated Proofs,"{'Miroslav Fiedler': 1, 'CR Johnson': 1, 'HM Shapiro': 1, 'Matrix Analysis': 1, 'Robert Hanson': 1, 'Akiko Yoshise': 1, 'RA Horn': 1, 'JB Lasserre': 1, 'Wolfgang Haken': 1, 'Kenneth Appel': 1, 'Claudio Alta?ni': 1, 'Joseph Collins': 1, 'Let GVA': 1, 'PJ Heawood': 1, 'Mil Mascaras': 1, 'Yasuaki Matsukawa': 1, 'Je?rey Uhlmann': 1, 'Issai Schur': 1, 'Janez Povh': 1, 'Franz Rendl': 1, 'DP Sanders': 1, 'DF Crouse': 1, 'John Horgan': 1, 'GB Giannakis': 1, 'RS Varga': 1, 'NL Lord': 1}"
BIN WANG,"{'Michael Fink': 1, 'Jun Shen': 1, 'Zhizheng Zhang': 1, 'Hongxiang Xu': 1}"
JUN SHEN,"{'Michael Fink': 1, 'Jun Shen': 1, 'Zhizheng Zhang': 1, 'Hongxiang Xu': 1}"
SHUTAO ZHANG,"{'Michael Fink': 1, 'Jun Shen': 1, 'Zhizheng Zhang': 1, 'Hongxiang Xu': 1}"
Monika Trimoska,{ 'De Canniere': 1}
Sorina Ionica,{ 'De Canniere': 1}
Gilles Dequen,{ 'De Canniere': 1}
Nina Tuluptceva,"{'Jinwon An': 1, 'James Hays': 1, 'Corinna Cortes': 1, 'Han Xiao': 1, 'Geert Litjens': 1, 'Supplementary Material': 1, 'Faruk Ahmed': 1, 'Kashif Rasul': 1, 'Alex Krizhevsky': 1, 'Thomas Schlegl': 1, 'Robert Vandermeulen': 1, 'Donghwoon Kwon': 1, 'Karen Simonyan': 1, 'Ping Luo': 1, 'Manon Romain': 1, 'Jianxiong Xiao': 1, 'Jia Deng': 1, 'Davide Abati': 1, 'Ramesh Nallapati': 1, 'Ranya Almohsen': 1, 'Lukas Ruff': 1, 'Philipp Seebock': 1, 'Olga Russakovsky': 1, 'Justin Johnson': 1, 'Mayu Sakurada': 1, 'Hyunjoo Kim': 1, 'Raghavendra Chalapathy': 1, 'Ziwei Liu': 1, 'Chong Zhou': 1, 'Yunqiang Chen': 1, 'Alexandre Alahi': 1, 'Nico Gornitz': 1, 'Dilip Thomas': 1, 'Ishaan Gulrajani': 1, 'Stanislav Pidhorskyi': 1, 'Yann LeCun': 1, 'Ian Goodfellow': 1, 'Aisha Abdallah': 1, 'Lucas Deecke': 1, 'Thijs Kooi': 1, 'Jean PougetAbadie': 1, 'Leon Gatys': 1, 'Houssam Zenati': 1, 'Pramuditha Perera': 1, 'Angelo Porrello': 1}"
Bart Bakker,"{'Jinwon An': 1, 'James Hays': 1, 'Corinna Cortes': 1, 'Han Xiao': 1, 'Geert Litjens': 1, 'Supplementary Material': 1, 'Faruk Ahmed': 1, 'Kashif Rasul': 1, 'Alex Krizhevsky': 1, 'Thomas Schlegl': 1, 'Robert Vandermeulen': 1, 'Donghwoon Kwon': 1, 'Karen Simonyan': 1, 'Ping Luo': 1, 'Manon Romain': 1, 'Jianxiong Xiao': 1, 'Jia Deng': 1, 'Davide Abati': 1, 'Ramesh Nallapati': 1, 'Ranya Almohsen': 1, 'Lukas Ruff': 1, 'Philipp Seebock': 1, 'Olga Russakovsky': 1, 'Justin Johnson': 1, 'Mayu Sakurada': 1, 'Hyunjoo Kim': 1, 'Raghavendra Chalapathy': 1, 'Ziwei Liu': 1, 'Chong Zhou': 1, 'Yunqiang Chen': 1, 'Alexandre Alahi': 1, 'Nico Gornitz': 1, 'Dilip Thomas': 1, 'Ishaan Gulrajani': 1, 'Stanislav Pidhorskyi': 1, 'Yann LeCun': 1, 'Ian Goodfellow': 1, 'Aisha Abdallah': 1, 'Lucas Deecke': 1, 'Thijs Kooi': 1, 'Jean PougetAbadie': 1, 'Leon Gatys': 1, 'Houssam Zenati': 1, 'Pramuditha Perera': 1, 'Angelo Porrello': 1}"
Irina Fedulova,"{'Jinwon An': 1, 'James Hays': 1, 'Corinna Cortes': 1, 'Han Xiao': 1, 'Geert Litjens': 1, 'Supplementary Material': 1, 'Faruk Ahmed': 1, 'Kashif Rasul': 1, 'Alex Krizhevsky': 1, 'Thomas Schlegl': 1, 'Robert Vandermeulen': 1, 'Donghwoon Kwon': 1, 'Karen Simonyan': 1, 'Ping Luo': 1, 'Manon Romain': 1, 'Jianxiong Xiao': 1, 'Jia Deng': 1, 'Davide Abati': 1, 'Ramesh Nallapati': 1, 'Ranya Almohsen': 1, 'Lukas Ruff': 1, 'Philipp Seebock': 1, 'Olga Russakovsky': 1, 'Justin Johnson': 1, 'Mayu Sakurada': 1, 'Hyunjoo Kim': 1, 'Raghavendra Chalapathy': 1, 'Ziwei Liu': 1, 'Chong Zhou': 1, 'Yunqiang Chen': 1, 'Alexandre Alahi': 1, 'Nico Gornitz': 1, 'Dilip Thomas': 1, 'Ishaan Gulrajani': 1, 'Stanislav Pidhorskyi': 1, 'Yann LeCun': 1, 'Ian Goodfellow': 1, 'Aisha Abdallah': 1, 'Lucas Deecke': 1, 'Thijs Kooi': 1, 'Jean PougetAbadie': 1, 'Leon Gatys': 1, 'Houssam Zenati': 1, 'Pramuditha Perera': 1, 'Angelo Porrello': 1}"
Anton Konushin,"{'Jinwon An': 1, 'James Hays': 1, 'Corinna Cortes': 1, 'Han Xiao': 1, 'Geert Litjens': 1, 'Supplementary Material': 1, 'Faruk Ahmed': 1, 'Kashif Rasul': 1, 'Alex Krizhevsky': 1, 'Thomas Schlegl': 1, 'Robert Vandermeulen': 1, 'Donghwoon Kwon': 1, 'Karen Simonyan': 1, 'Ping Luo': 1, 'Manon Romain': 1, 'Jianxiong Xiao': 1, 'Jia Deng': 1, 'Davide Abati': 1, 'Ramesh Nallapati': 1, 'Ranya Almohsen': 1, 'Lukas Ruff': 1, 'Philipp Seebock': 1, 'Olga Russakovsky': 1, 'Justin Johnson': 1, 'Mayu Sakurada': 1, 'Hyunjoo Kim': 1, 'Raghavendra Chalapathy': 1, 'Ziwei Liu': 1, 'Chong Zhou': 1, 'Yunqiang Chen': 1, 'Alexandre Alahi': 1, 'Nico Gornitz': 1, 'Dilip Thomas': 1, 'Ishaan Gulrajani': 1, 'Stanislav Pidhorskyi': 1, 'Yann LeCun': 1, 'Ian Goodfellow': 1, 'Aisha Abdallah': 1, 'Lucas Deecke': 1, 'Thijs Kooi': 1, 'Jean PougetAbadie': 1, 'Leon Gatys': 1, 'Houssam Zenati': 1, 'Pramuditha Perera': 1, 'Angelo Porrello': 1}"
Fang Yua,"{'DW Qiu': 1, 'Related Papers': 1, 'Quantum Computation': 1, 'Security Issues': 1, 'New Protocol': 1}"
Daowen Qiub,"{'DW Qiu': 1, 'Related Papers': 1, 'Quantum Computation': 1, 'Security Issues': 1, 'New Protocol': 1}"
Xiaoming Wanga,"{'DW Qiu': 1, 'Related Papers': 1, 'Quantum Computation': 1, 'Security Issues': 1, 'New Protocol': 1}"
Qin Lic,"{'DW Qiu': 1, 'Related Papers': 1, 'Quantum Computation': 1, 'Security Issues': 1, 'New Protocol': 1}"
Lvzhou Lib,"{'DW Qiu': 1, 'Related Papers': 1, 'Quantum Computation': 1, 'Security Issues': 1, 'New Protocol': 1}"
Wanthanee Rathasamuth,"{'CL Huang': 1, 'LY Chuang': 1, 'SB Cho': 1, 'XS Yang': 1, 'HW Chang': 1, 'CH Yang': 1, 'CJ Tu': 1, 'HH Won': 1}"
Kitsuchart Pasupa,"{'CL Huang': 1, 'LY Chuang': 1, 'SB Cho': 1, 'XS Yang': 1, 'HW Chang': 1, 'CH Yang': 1, 'CJ Tu': 1, 'HH Won': 1}"
Sissades Tongsima,"{'CL Huang': 1, 'LY Chuang': 1, 'SB Cho': 1, 'XS Yang': 1, 'HW Chang': 1, 'CH Yang': 1, 'CJ Tu': 1, 'HH Won': 1}"
LEI SONG,"{'From De?nition': 1, 'JP Katoen': 1, 'By Def': 1, 'In Section': 1, 'PCTL PCTLPCTL': 1, 'XLs Ls': 1}"
JENS CHR,"{'From De?nition': 1, 'JP Katoen': 1, 'By Def': 1, 'In Section': 1, 'PCTL PCTLPCTL': 1, 'XLs Ls': 1}"
Rainer Plaga,"{'CH Bennett': 1, 'IEEE Press': 1}"
Frank Koob,{'CH Bennett': 1}
Gabriele Valvano,{'Van Steenkiste': 1}
Agisilaos Chartsias,{'Van Steenkiste': 1}
Andrea Leo,{'Van Steenkiste': 1}
Matthias Kahl,"{'CL Li': 1, 'Xavier Glorot': 1, 'Marcin Andrychowicz': 1, 'Antoine Bordes': 1, 'Volker Blanz': 1, 'Zhenyu Long': 1, 'Ayush Tewari': 1, 'Christian Jansen': 1, 'Seungjun Nah': 1, 'Sergey Ioffe': 1, 'Matthias Kahl': 1, 'Steffen Wietzke': 1, 'Teresa Klatzer': 1, 'JH Chang': 1, 'Michael Zoll?fer': 1, 'Brandon Amos': 1, 'Erich Kobler': 1, 'MT Reiten': 1, 'Jason Deibel': 1, 'Tianyi Wang': 1, 'Jiwon Kim': 1, 'Misha Denil': 1, 'Chao Dong': 1, 'Michael Hirsch': 1, 'Jinshan Ding': 1}"
Andreas Kolb,"{'CL Li': 1, 'Xavier Glorot': 1, 'Marcin Andrychowicz': 1, 'Antoine Bordes': 1, 'Volker Blanz': 1, 'Zhenyu Long': 1, 'Ayush Tewari': 1, 'Christian Jansen': 1, 'Seungjun Nah': 1, 'Sergey Ioffe': 1, 'Matthias Kahl': 1, 'Steffen Wietzke': 1, 'Teresa Klatzer': 1, 'JH Chang': 1, 'Michael Zoll?fer': 1, 'Brandon Amos': 1, 'Erich Kobler': 1, 'MT Reiten': 1, 'Jason Deibel': 1, 'Tianyi Wang': 1, 'Jiwon Kim': 1, 'Misha Denil': 1, 'Chao Dong': 1, 'Michael Hirsch': 1, 'Jinshan Ding': 1}"
Michael M?ller,"{'CL Li': 1, 'Xavier Glorot': 1, 'Marcin Andrychowicz': 1, 'Antoine Bordes': 1, 'Volker Blanz': 1, 'Zhenyu Long': 1, 'Ayush Tewari': 1, 'Christian Jansen': 1, 'Seungjun Nah': 1, 'Sergey Ioffe': 1, 'Matthias Kahl': 1, 'Steffen Wietzke': 1, 'Teresa Klatzer': 1, 'JH Chang': 1, 'Michael Zoll?fer': 1, 'Brandon Amos': 1, 'Erich Kobler': 1, 'MT Reiten': 1, 'Jason Deibel': 1, 'Tianyi Wang': 1, 'Jiwon Kim': 1, 'Misha Denil': 1, 'Chao Dong': 1, 'Michael Hirsch': 1, 'Jinshan Ding': 1}"
Carlos Segarra,"{'Van Bulck': 1, 'Van Zaen': 1}"
ECILIA PRADIC,{'Cornell Univ': 1}
Min Wua,"{'SM MoosaviDezfooli': 1, 'SI Lee': 1, 'Parameter Setting': 1, 'TW Weng': 1, 'MJ Lin': 1, 'TJ Yen': 1, 'SC Wei': 1}"
Matthew Wickerb,"{'SM MoosaviDezfooli': 1, 'SI Lee': 1, 'Parameter Setting': 1, 'TW Weng': 1, 'MJ Lin': 1, 'TJ Yen': 1, 'SC Wei': 1}"
Wenjie Ruana,"{'SM MoosaviDezfooli': 1, 'SI Lee': 1, 'Parameter Setting': 1, 'TW Weng': 1, 'MJ Lin': 1, 'TJ Yen': 1, 'SC Wei': 1}"
Xiaowei Huangc,"{'SM MoosaviDezfooli': 1, 'SI Lee': 1, 'Parameter Setting': 1, 'TW Weng': 1, 'MJ Lin': 1, 'TJ Yen': 1, 'SC Wei': 1}"
Mobile Ad,"{'Discovery Manager': 1, 'DOI TPDS': 1, 'DOI MWC': 1, 'DOI ICCV': 1}"
IJASCSE VOLUME,"{'ShihFu Chang': 1, 'MJ Kolly': 1, 'JN Paquin': 1, 'FJ Garc¨ªaIzquierdo': 1, 'JJ Olarte': 1, 'ACM IEEECS': 1, 'Blackboard Learn': 1, 'MS Kim': 1}"
Copyright Protection,"{'Guillaume Lavoue': 1, 'Kai Wang': 1, 'Atilla Baskurt': 1, 'Florence Denis': 1}"
Western Greece,{'Klir GJ': 1}
STEFAN CIOB?C?,"{'Specifying Reachability': 1, 'Related Work': 1, 'Relative Completeness': 1, 'Verifying Programs': 1, 'Future Work': 1, 'PW Resources': 1, 'CB Speci?cation': 1}"
RADU MEREUTA,"{'Specifying Reachability': 1, 'Related Work': 1, 'Relative Completeness': 1, 'Verifying Programs': 1, 'Future Work': 1, 'PW Resources': 1, 'CB Speci?cation': 1}"
UK GCSE,"{'Park HS': 1, 'The Data': 1, 'In Questions': 1, 'In MM': 1, 'Manning CD': 1}"
TopK Document,"{'CO Truica': 1, 'Transaction Systems': 1, 'DataCentric Benchmarking': 1}"
Mikhail Rybakov,"{'Dirk Walther': 1, 'Philippe Schnoebelen': 1, 'Orna Grumberg': 1, 'Mikhail Rybakov': 1, 'Alexander Chagrov': 1, 'Valentin Goranko': 1, 'Patrick Blackburn': 1, 'Stephane Demri': 1, 'Michael Huth': 1, 'Aart Mid': 1, 'Dmitry Shkatov': 1, 'Carsten Lutz': 1, 'Dennis Dams': 1, 'Not Never': 1, 'Yoav Shoham': 1, 'Ronald Fagin': 1, 'Rajeev Alur': 1}"
Dmitry Shkatov,"{'Dirk Walther': 1, 'Philippe Schnoebelen': 1, 'Orna Grumberg': 1, 'Mikhail Rybakov': 1, 'Alexander Chagrov': 1, 'Valentin Goranko': 1, 'Patrick Blackburn': 1, 'Stephane Demri': 1, 'Michael Huth': 1, 'Aart Mid': 1, 'Dmitry Shkatov': 1, 'Carsten Lutz': 1, 'Dennis Dams': 1, 'Not Never': 1, 'Yoav Shoham': 1, 'Ronald Fagin': 1, 'Rajeev Alur': 1}"
VARUN RAMANATHAN,"{'VIII Salgotarjan': 1, 'Wim Martens': 1}"
Burak Satar,{'MIT Press': 1}
Evgenii Tsymbalov,{'Karra Taniskidou': 1}
Maxim Panov,{'Karra Taniskidou': 1}
Alexander Shapeev,{'Karra Taniskidou': 1}
THORSTEN WISSMANN,{'Stefan Milius': 1}
ULRICH DORSCH,{'Stefan Milius': 1}
Youshan Zhang,{'Senthil Arumugam': 1}
Liangdong Guo,{'Senthil Arumugam': 1}
Qi Li,{'Senthil Arumugam': 1}
Junhui Li,{'Senthil Arumugam': 1}
Jelena Vasiljevi?,"{'Wayne Rasband': 1, 'RD Rubens': 1, 'Nacim Betrouni': 1}"
Ivica Milosavljevi?,{'Wayne Rasband': 1}
Vladimir Krsti?,{'Wayne Rasband': 1}
Nata?a Zivi?,{'Wayne Rasband': 1}
Luke Rodriguez,"{'NYC Taxi': 1, 'WY Day': 1, 'Limousine Commission': 1}"
Babak Salimi,"{'NYC Taxi': 1, 'WY Day': 1, 'Limousine Commission': 1}"
Haoyue Ping,"{'NYC Taxi': 1, 'WY Day': 1, 'Limousine Commission': 1}"
Marija Prokopijevi?,"{'RD Rubens': 1, 'Nacim Betrouni': 1}"
Aleksandar Stan?i?,"{'RD Rubens': 1, 'Nacim Betrouni': 1}"
Meredydd Williams,"{'JK Privacy': 1, 'Churchill Jr': 1}"
Parallel Statistical,{'Peng Gang': 1}
Yan Zhaowen,"{'CL Biji': 1, 'RA Gonzalez': 1, 'RE Woods': 1}"
SVEN SCHEWE,{'Aniello Murano': 1}
ALEXANDER WEINERT,{'Aniello Murano': 1}
Repulsing Supermartingales,"{'GiB RAM': 1, 'By Cor': 1}"
Masaki Waga,"{'GJ Pace': 1, 'JHM Jr': 2, 'JV Deshmukh': 2, 'World Scienti?c': 1, 'BW Watson': 2, 'KY Rozier': 1, 'DE Knuth': 2, 'RS Boyer': 2, 'SA Smolka': 1, 'The MathWorks': 2, 'PK Pandya': 1, 'CI Vasile': 1, 'CG Jennings': 1, 'DR Kini': 1, 'SN Krishna': 1, 'DL Dill': 1, 'GEAR The': 1}"
Takumi Akazaki,"{'GJ Pace': 1, 'JHM Jr': 1, 'JV Deshmukh': 1, 'World Scienti?c': 1, 'BW Watson': 1, 'KY Rozier': 1, 'DE Knuth': 1, 'RS Boyer': 1, 'SA Smolka': 1, 'The MathWorks': 1, 'PK Pandya': 1}"
Ichiro Hasuo,"{'GJ Pace': 1, 'JHM Jr': 2, 'JV Deshmukh': 2, 'World Scienti?c': 1, 'BW Watson': 2, 'KY Rozier': 1, 'DE Knuth': 2, 'RS Boyer': 2, 'SA Smolka': 1, 'The MathWorks': 2, 'PK Pandya': 1, 'CI Vasile': 1, 'CG Jennings': 1, 'DR Kini': 1, 'SN Krishna': 1, 'DL Dill': 1, 'GEAR The': 1}"
Andre Droux,"{'Wei Dong': 1, 'Jia Deng': 1, 'Rengifo Alejandro': 1}"
Helmut Fischer,"{'Anthony Iannino': 1, 'Helmut Fischer': 1, 'Bev Littlewood': 1, 'FW Scholz': 1, 'Tilman Seifert': 1, 'Stefan Wagner': 1, 'PM Nagel': 1}"
Sensor Networks,"{'Virgil Gligor': 1, 'Bharat Bhargava': 1, 'Adrian Perrig': 1, 'Yuguang Fang': 1, 'Yanchao Zhang': 1, 'Atmel Corporation': 1, 'HsiaoHwa Chen': 1, 'David Wagner': 1, 'Manik Lal': 1, 'Crossbow Technology': 1, 'Proceedings IEEE': 1, 'Kowsik Guruswamy': 1, 'Saurabh Bagchi': 1, 'Wen Tao': 1, 'Jiangchuan Liu': 1, 'Monika Saluja': 1, 'Di Pietro': 1, 'David Evans': 1, 'Shivakant Mishra': 1, 'Nur Serinken': 1, 'Richard Han': 1, 'Edith CH': 1}"
Sohini Roychowdhury,"{'CMU Pie': 1, 'Moftah Elzobi': 1, 'HW Ng': 1, 'Ji Ming': 1, 'Fuyan Zhang': 1, 'Computational Learning': 1, 'Upper Face': 1, 'Jiro Gyoba': 1, 'Xiaozhou Wei': 1, 'Qingshan Liu': 1, 'Simon Baker': 1, 'BPD Database': 1, 'Miyuki Kamachi': 1, 'Robert Niese': 1, 'Michael Kirby': 1, 'AR Face': 1, 'Shiguang Shan': 1, 'Xilin Chen': 1, 'Angel Serrano': 1, 'Wen Gao': 1, 'Yi Sun': 1, 'Equinox Corporation': 1, 'Amitabha Mukherjee': 1, 'Ayoub AlHamadi': 1, 'Hanqing Lu': 1, 'Wanquan Liu': 1, 'Songcan Chen': 1, 'Xiaoyang Tan': 1, 'AR Database': 1, 'Jun Li': 1, 'Stan Li': 1, 'Wang Yan': 1, 'Danny Crookes': 1, 'Shota Akamatsu': 1, 'Tieniu Tan': 1, 'Caltech Faces': 1, 'Libor Spacek': 1, 'Maan Bsat': 1, 'Md Kamrul': 1, 'Kresimir Delac': 1, 'Raimondo Schettini': 1, 'Claudio Cusano': 1, 'Ling Li': 1, 'Sonja Grgic': 1, 'Long Quan': 1, 'ZhiHua Zhou': 1, 'Lijun Yin': 1, 'Songde Ma': 1, 'Takeo Kanade': 1, 'Springer Science': 1, 'Jun Wang': 1}"
Michelle Emmons,"{'CMU Pie': 1, 'Moftah Elzobi': 1, 'HW Ng': 1, 'Ji Ming': 1, 'Fuyan Zhang': 1, 'Computational Learning': 1, 'Upper Face': 1, 'Jiro Gyoba': 1, 'Xiaozhou Wei': 1, 'Qingshan Liu': 1, 'Simon Baker': 1, 'BPD Database': 1, 'Miyuki Kamachi': 1, 'Robert Niese': 1, 'Michael Kirby': 1, 'AR Face': 1, 'Shiguang Shan': 1, 'Xilin Chen': 1, 'Angel Serrano': 1, 'Wen Gao': 1, 'Yi Sun': 1, 'Equinox Corporation': 1, 'Amitabha Mukherjee': 1, 'Ayoub AlHamadi': 1, 'Hanqing Lu': 1, 'Wanquan Liu': 1, 'Songcan Chen': 1, 'Xiaoyang Tan': 1, 'AR Database': 1, 'Jun Li': 1, 'Stan Li': 1, 'Wang Yan': 1, 'Danny Crookes': 1, 'Shota Akamatsu': 1, 'Tieniu Tan': 1, 'Caltech Faces': 1, 'Libor Spacek': 1, 'Maan Bsat': 1, 'Md Kamrul': 1, 'Kresimir Delac': 1, 'Raimondo Schettini': 1, 'Claudio Cusano': 1, 'Ling Li': 1, 'Sonja Grgic': 1, 'Long Quan': 1, 'ZhiHua Zhou': 1, 'Lijun Yin': 1, 'Songde Ma': 1, 'Takeo Kanade': 1, 'Springer Science': 1, 'Jun Wang': 1}"
HighPerformance Computing,"{'Intel VTD': 1, 'Nik Bessis': 1, 'Open MPI': 1, 'Communication Overheads': 1, 'PROJECT DESCRIPTION': 1, 'Easier Possibilities': 1, 'Stelios Sotiriadis': 1, 'Inria OpenMX': 1, 'Mellanox Technologies': 1, 'Docker Container': 1, 'Measurement Results': 1, 'PERFORMANCE TESTS': 1}"
Jie Xu,"{'Stuttgart Lucius': 1, 'AUTHORS PROFILE': 1}"
BackPropagation Learning,"{'Fault Diagnosis': 1, 'Simulator Performance': 1, 'Fault Tolerance': 1}"
Amirhossein Tavanaei,"{'Jean Rouat': 1, 'Yang Dan': 1, 'David Verstraeten': 1, 'Yang Chen': 1, 'Abdelrahman Mohamed': 1, 'Li Deng': 1, 'Mohammad Ganjtabesh': 1, 'Yongqiang Cao': 1, 'Ossama AbdelHamid': 1, 'Deep RNN': 1, 'HansG¨¹nter Hirsch': 1, 'Minh Dao': 1, 'Michael Beyeler': 1, 'Timothee Masquelier': 1, 'AbdelRahman Mohamed': 1, 'Alex Graves': 1, 'Thomas Mesnard': 1, 'Timoth¨¦e Masquelier': 1, 'St¨¦phane Loiselle': 1, 'Nikola Kasabov': 1, 'Yuanming Suo': 1, 'Amirhossein Tavanaei': 1, 'Yoshua Bengio': 1, 'Lubica Benuskova': 1, 'Geoffrey Hinton': 1, 'Yann LeCun': 1, 'Daniel Neil': 1, 'Samanwoy GhoshDastidar': 1, 'Benjamin Schrauwen': 1, 'Koen Groenland': 1, 'Kshitij Dhoble': 1}"
Anthony Maida,"{'Jean Rouat': 1, 'Yang Dan': 1, 'David Verstraeten': 1, 'Yang Chen': 1, 'Abdelrahman Mohamed': 1, 'Li Deng': 1, 'Mohammad Ganjtabesh': 1, 'Yongqiang Cao': 1, 'Ossama AbdelHamid': 1, 'Deep RNN': 1, 'HansG¨¹nter Hirsch': 1, 'Minh Dao': 1, 'Michael Beyeler': 1, 'Timothee Masquelier': 1, 'AbdelRahman Mohamed': 1, 'Alex Graves': 1, 'Thomas Mesnard': 1, 'Timoth¨¦e Masquelier': 1, 'St¨¦phane Loiselle': 1, 'Nikola Kasabov': 1, 'Yuanming Suo': 1, 'Amirhossein Tavanaei': 1, 'Yoshua Bengio': 1, 'Lubica Benuskova': 1, 'Geoffrey Hinton': 1, 'Yann LeCun': 1, 'Daniel Neil': 1, 'Samanwoy GhoshDastidar': 1, 'Benjamin Schrauwen': 1, 'Koen Groenland': 1, 'Kshitij Dhoble': 1}"
CLASSICAL CONTROL,"{'Mathys Rennela': 1, 'Clemens Berger': 1, 'Ichiro Hasuo': 1, 'Robert Rand': 1, 'Samson Abramsky': 1, 'James Chapman': 1, 'Applied Algebra': 1, 'FMCAD Inc': 1, 'Peter Selinger': 1, 'Simon Perdrix': 1, 'Philip Scott': 1, 'Jennifer Paykin': 1, 'Michele Pagani': 1, 'Michael Mislove': 1, 'Robert Furber': 1, 'Claudia Faggian': 1, 'Romain Pechoux': 1, 'Business Media': 1, 'Aleks Kissinger': 1, 'Dave Wecker': 1, 'Thorsten Altenkirch': 1, 'Octavio Malherbe': 1, 'Francisco Rios': 1, 'Claire Jones': 1, 'Bert Lindenhovius': 1, 'PaulAndre Mellies': 1}"
Univ Lyon,"{'Daniela Petrisan': 1, 'Addison Wesley': 1, 'Related Work': 1, 'Viktor Vafeiadis': 1, 'By Theorem': 1, 'If Bk': 1, 'Kenta Cho': 1, 'Georg Neis': 1, 'Abstract GSOS': 1}"
Centrum Wiskunde,"{'Thomas Ehrhard': 1, 'Claire Jones': 1, 'Ichiro Hasuo': 1, 'Klaus Keimel': 1, 'Christine Tasson': 1, 'Filippo Bonchi': 1, 'Bas Westerbaan': 1, 'Vincent Danos': 1, 'Bart Jacobs': 1, 'Michele Pagani': 1, 'Samson Abramsky': 1, 'Mathys Rennela': 1, 'Robert Furber': 1}"
Scientific Research,"{'James Rumbaugh': 1, 'Alistair Cockburn': 1, 'Site Engineer': 1, 'Grady Booch': 1, 'Unselected MSB': 1, 'Sequence Diagram': 1}"
Management Studies,"{'James Rumbaugh': 1, 'Alistair Cockburn': 1, 'Site Engineer': 1, 'Grady Booch': 1, 'Unselected MSB': 1, 'Sequence Diagram': 1}"
Mathematical Sciences,"{'Erich Gradel': 1, 'Prateek Karandikar': 1, 'Philippe Schnoebelen': 1, 'Neil Robertson': 1, 'Hubert Comon': 1, 'Subgraph Order': 1, 'Jaroslav Je¡¦zek': 1, 'Laszlo Lovasz': 1, 'Pavol Hell': 1, 'Graph Orders': 1, 'Hamed Hatami': 1, 'Simon Halfon': 1, 'Business Media': 1}"
Cross Street,"{'Erich Gradel': 1, 'Prateek Karandikar': 1, 'Philippe Schnoebelen': 1, 'Neil Robertson': 1, 'Hubert Comon': 1, 'Subgraph Order': 1, 'Jaroslav Je¡¦zek': 1, 'Laszlo Lovasz': 1, 'Pavol Hell': 1, 'Graph Orders': 1, 'Hamed Hatami': 1, 'Simon Halfon': 1, 'Business Media': 1}"
CIT Campus,"{'Erich Gradel': 1, 'Prateek Karandikar': 1, 'Philippe Schnoebelen': 1, 'Neil Robertson': 1, 'Hubert Comon': 1, 'Subgraph Order': 1, 'Jaroslav Je¡¦zek': 1, 'Laszlo Lovasz': 1, 'Pavol Hell': 1, 'Graph Orders': 1, 'Hamed Hatami': 1, 'Simon Halfon': 1, 'Business Media': 1}"
Viola Jones,"{'KinMan Lam': 1, 'Hosseien LariNajaffi': 1, 'LingZhi Liao': 1, 'HAbu Bakar': 1, 'Naveen Prakash': 1, 'Mei Tian': 1, 'Edwin Hancock': 1, 'SiWei Luo': 1, 'Sven Loncaric': 1, 'Zdravko Liposcak': 1, 'Simone Ceolin': 1, 'NK Sinha': 1, 'Mohammad Naseerudin': 1, 'KwanHo Lin': 1, 'Irene Kotsia': 1, 'MM Gupta': 1, 'WanChi Siu': 1, 'Tariq Samad': 1, 'Prachi Agarwal': 1, 'DH Rao': 1, 'KiChung Chung': 1, 'Iaonnis Pitas': 1}"
ROBERTO VIGO,"{'Marco DallAglio': 1, 'Stuart Russell': 1, 'Related Work': 1, 'Flemming Nielson': 1, 'Quantifying Attacks': 1, 'Alessandro Cimatti': 1, 'ACM Press': 1, 'Duminda Wijesekera': 1, 'Roberto Vigo': 1, 'Endre Boros': 1, 'Marco Giunti': 1, 'Fabrizio Biondi': 1, 'Vaibhav Mehta': 1, 'Axel Legay': 1, 'Barbara Kordy': 1, 'Amin CojaOghla': 1, 'Isil Dillig': 1, 'Cynthia Phillips': 1, 'Constantinos Bartzis': 1, 'Zaruhi Aslanyan': 1, 'Robert Nieuwenhuis': 1, 'Sjouke Mauw': 1, 'Catuscia Palamidessi': 1, 'Paul Ammann': 1, 'Aivo Jurgenson': 1, 'Discovering Attacks': 1, 'Ludovic PitreCambacds': 1, 'Displaying Attacks': 1, 'Eugen Staab': 1, 'Stefano Bistarelli': 1, 'Sebastian Modersheim': 1, 'Oleg Sheyner': 1, 'Xinming Ou': 1, 'Anders Franzen': 1, 'Martin Rehak': 1, 'Somesh Jha': 1, 'Arpan Roy': 1, 'Thomas Dillig': 1}"
ZHIWEI ZOU,"{'GQ Zhang': 1, 'Birkhauser Boston': 1, 'AppP Then': 1, 'YM Liu': 1}"
QINGGUO LI,"{'GQ Zhang': 1, 'Birkhauser Boston': 1, 'AppP Then': 1, 'YM Liu': 1}"
Nizar ZAGHDEN,"{'Remy Mullot': 1, 'Frank Lebourgeois': 1, 'Guojun Lu': 1, 'Hubert Emptoz': 1, 'OM Bruno': 1, 'Nizar Zaghden': 1, 'Yann Leydier': 1, 'JB Florindo': 1, 'AM Alimi': 1}"
