author,h_index,total_citations,paper_count
Paul-Andr¨¦ Melli¨¨s,2,10,2
Eun Jung Kim,2,10,2
Tillmann Miltzow,2,20,2
Alexander Kartzow,2,26,2
Gregorio Malajovich,2,55,2
Diego Figueira,2,89,3
Cristina Sirangelo,2,23,2
Ivan Lanese,2,57,2
Michael Benedikt,2,17,3
C¨¦cilia Pradic,2,17,4
A. Abreu,2,14,2
Dag Normann,2,26,5
Willem Heijltjes,2,14,2
Sandi Klav?ar,2,14,2
Yang Wang,2,17,2
Louis Esperet,2,6,2
Xiaoyong Xi,2,30,3
Claudio Antares Mezzina,2,6,2
Ezgi Deniz Ulker,2,34,2
Sadik Ulker,2,34,2
Hyvernat Pierre,2,31,2
Hubie Chen,2,25,2
Thabet Slimani,2,175,2
Tao Gu,2,8,3
Harry Buhrman,2,29,2
Patrick Bahr,2,10,2
Christophe Fouquer¨¦,2,10,2
Myriam Quatrini,2,10,2
Al-Akhir Nayan,2,32,2
Md. Obaidur Rahman,2,32,2
Jeffrey Shallit,2,16,2
Iosif Petrakis,2,11,2
Kirstin Peters,2,30,3
L. Cunha,2,14,2
Paul Gastin,2,24,3
F¨¢bio Protti,2,15,4
Marco Bernardo,2,40,3
Andreas B?rtschi,2,29,2
Daniel Graf,2,29,2
Olivier Carton,2,11,5
Clemens Grabmayer,2,6,2
T. Fernandes,2,14,2
Uwe Nestmann,2,37,3
Jan Friso Groote,2,8,3
Emmanuel Jeandel,2,45,2
Peng Gang,2,190,2
Marie van den Bogaard,2,42,2
Jean-Fran?ois Raskin,2,42,2
Peter Dankelmann,2,22,3
Oleksandr Rokovyi,2,9,2
C. de Figueiredo,2,14,2
Roberto Zunino,2,46,3
Yuki Takeuchi,2,16,2
L. Kowada,2,14,2
F. Marquezino,2,14,2
Laurent Beaudou,2,20,3
D. Posner,2,14,2
Oscar H. Ibarra,2,20,5
Valia Mitsou,2,25,2
Alexandr Kazda,2,13,2
Peter Mayr,2,16,2
Francesco Dagnino,2,33,3
Matthijs V¨¢k¨¢r,2,30,2
Alessio Santamaria,2,13,3
Hazrat Ali,2,23,2
Khalid Iqbal,2,15,2
P. Madhusudan,2,15,2
Pawe? Soboci¨½ski,2,9,2
Ervin Gy?ri,2,37,3
Nikita Alexeev,2,18,3
Gyesik Lee,2,25,2
L. Nenzi,2,57,2
L. Bortolussi,2,57,2
Yoshiko Wakabayashi,2,16,2
David Fern¨¢ndez-Duque,2,26,2
?ukasz Bo?yk,2,6,2
Tom¨¢? Masa?¨ªk,2,38,2
Orna Kupferman,2,50,3
Ornela Dardha,2,17,2
Xerxes D. Arsiwalla,2,6,2
B¨¦renger Bramas,2,14,2
Vincenzo Ciancia,2,60,2
M. Loreti,2,57,2
Fr¨¦d¨¦ric Havet,2,22,2
Johanna Carvajal,2,16,2
Yassine Himeur,2,181,2
Wen Kokke,2,18,3
Brian Lovell,2,16,2
Stanley Durrleman,2,39,2
Silvano Dal Zilio,2,28,2
J?rgen Bang-Jensen,2,22,2
Daniele Nantes-Sobrinho,2,10,3
Jorge A. P¨¦rez,2,7,2
Dominique Larchey-Wendling,2,7,2
Thomas Wilke,2,38,2
Konstantinos Georgiou,2,64,3
Luis Gasco,2,68,2
Pawe? Parys,2,18,2
Pawe? Gawrychowski,2,26,2
G. A. Kavvos,2,38,2
Michele Pagani,2,42,2
Jakub Rydval,2,9,2
Olivier Rukundo,2,237,2
Tommi Meskanen,2,10,2
Ambroise Lafont,2,24,3
Maria Emilia Maietti,2,16,3
Samuele Maschio,2,14,3
Michael Rathjen,2,14,2
Eike Neumann,2,56,4
Sara Ramezanian,2,10,2
Valtteri Niemi,2,10,2
Vasco Brattka,2,70,3
Seth Fogarty,2,88,2
Antoine Amarilli,2,14,2
Charles Paperman,2,5,2
Michal Opler,2,5,3
Ramanathan S. Thinniyam,2,15,2
Valentina Castiglioni,2,10,2
Michel Rigo,2,4,2
Thomas Zeume,2,80,2
Lucia Moura,2,11,3
Georg Zetzsche,2,29,2
Mario Bravetti,2,41,3
Gianluigi Zavattaro,2,60,3
Jaroslav Ne?et?il,2,92,2
Patrice Ossona de Mendez,2,92,2
Jeffrey B. Remmel,2,13,5
Martin Otto,2,160,2
Clark Barrett,2,16,2
Micha? Pilipczuk,2,41,3
Cristina Feier,2,49,2
Ferruccio Damiani,2,32,2
Andr¨¦ Hirschowitz,2,17,2
Johannes Greiner,2,9,2
Antti Valmari,2,7,2
G¨¹nter Rote,2,33,2
Roberto Casadei,2,25,2
Sebastian Ordyniak,2,70,2
Ross Horne,2,21,2
Lutz Stra?burger,2,27,3
Dan Suciu,2,23,2
Letterio Galletta,2,28,2
Maurice Laveaux,2,5,2
James Cheney,2,44,2
Jean-Simon Pacaud Lemay,2,9,2
Michael A. Henning,2,15,3
Ester Livshits,2,84,2
Thais Bardini Idalino,2,9,2
Dan Frumin,2,44,2
Fernando P¨¦rez-Garc¨ªa,2,25,2
Petr Jancar,2,27,3
Gwena?l Joret,2,32,2
Rachel Sparks,2,25,2
Khaled Elbassioni,2,24,2
Bassel Mannaa,2,48,2
Niccol¨° Veltri,2,31,2
Angelo Montanari,2,23,2
Pietro Sala,2,23,2
S¨¦bastien Ourselin,2,25,2
Georgios Katsimpras,2,68,2
Benjamin Hackl,2,26,3
S. C. Steenkamp,2,20,2
Vlad Taran,2,43,2
